"Plot","Forest","PlotSurface","AGBdead","AGBext","AGBdam","AGB0","RatioDam"
"pet 17","pet",0.25,198.72035849181,67.5780441673111,131.142314324499,416.243807598329,0.376126158857708
"pet 18","pet",0.25,59.0594682264197,16.0728879388171,42.9865802876027,392.167470422953,0.114297260023457
"pet 20","pet",0.25,103.614612541989,26.7570826357555,76.8575299062336,266.338056216846,0.320799806250974
"pet 23","pet",0.25,103.616776318891,31.7536929507442,71.8630833681471,483.685624623883,0.159013068853303
"pet 26","pet",0.25,151.622906536243,37.8200355371566,113.802870999086,425.199524671886,0.293776191540967
"pet 27","pet",0.25,16.6252152885102,2.81570877592623,13.809506512584,451.853890274356,0.0307535240466679
"pet 30","pet",0.25,14.433230227532,3.07004081619763,11.3631894113344,403.904009194189,0.0283488683788863
"pet 31","pet",0.25,226.145020227213,67.7458575111388,158.399162716074,472.162796281748,0.391672918541922
"pet 34","pet",0.25,69.3674738644109,9.68611095555524,59.6813629088557,360.469390866485,0.170137421954689
"pet 6","pet",0.25,200.007377914,70.7258390376136,129.281538876387,535.772706858692,0.277996795209309
"prc 2","prc",6.25,117.098021212483,25.4448154522548,91.6532057602278,372.664148272555,0.263963429155202
"prc 7","prc",6.25,98.9238400489737,17.8745034959716,81.0493365530021,401.938734980148,0.21103068161228
"prc 9","prc",6.25,100.211075087769,18.7773077808628,81.4337673069062,389.030045246573,0.219941026943651
"tbc 1","tbc",1,34.9048575180486,8.19926790458985,26.7055896134587,196.373994342059,0.141919109537449
"tbc 2","tbc",1,44.1838576429013,4.12719700107608,40.0566606418252,197.118431923541,0.207556890642822
"tbc 3","tbc",1,29.9596138833989,2.99811210015388,26.961501783245,178.43469946952,0.153682320133599
"tbc 4","tbc",1,22.6311131628268,1.36700753919633,21.2641056236304,132.461771815446,0.16220407993428
"tbc 5","tbc",1,43.3969058141909,7.44800346709647,35.9489023470944,174.338039234828,0.215404725523135
"tbc 6","tbc",1,23.4475210850347,4.17676987220116,19.2707512128336,163.143875474014,0.121224772507991
"tpj 110","tpj",0.25,89.6276334643765,19.8715200516753,69.7561134127012,305.044285474791,0.244610011440618
"tpj 111","tpj",0.25,206.457995315619,68.087832348466,138.370162967153,433.241544899852,0.378936755155354
"tpj 112","tpj",0.25,268.815662333879,31.8262507523881,236.989411581491,425.999772530225,0.601231179894073
"tpj 204","tpj",0.25,100.916148968279,25.7412118043503,75.1749371639284,317.362923705974,0.25778237386278
"tpj 205","tpj",0.25,88.8974331150665,20.4167133598161,68.4807197552503,447.286582031853,0.160425283631026
"tpj 206","tpj",0.25,73.8901037414182,25.6014843494049,48.2886193920134,327.464515339645,0.1599686428431
"tpj 304","tpj",0.25,121.431658710858,23.655269614806,97.7763890960525,371.665453019161,0.280958413744018
"tpj 306","tpj",0.25,78.9795503203181,30.12575860986,48.8537917104581,333.610407041969,0.160976154684763
"tpj 401","tpj",0.25,144.455007588283,52.6045440836945,91.8504635045881,351.191803074195,0.307616821344378
"tpj 402","tpj",0.25,129.272048024214,36.1427943921386,93.1292536320751,381.930532950279,0.269324915974186
"tpj 403","tpj",0.25,204.035557391693,70.8009653725149,133.234592019178,508.110228121281,0.304669037151681
